image_path,split,label,timestamp,source
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100544_4f27b8d2_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100418_a57ea181_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100509_f29b0691_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100403_9f93f05c_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100475_de14998d_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100475_de14998d_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100509_f29b0691_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100424_6b053aca_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100409_6af3ab71_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100521_2dd1ce9b_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100424_6b053aca_norm.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100490_7d67b5d4_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100529_7fdd00fb_norm.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100521_2dd1ce9b_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100409_6af3ab71_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100385_6edce65a_aug_1.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100502_79f61c4d_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100409_6af3ab71_aug_2.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100385_6edce65a_aug_3.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100385_6edce65a_norm.jpg,train,scarves,2025-09-06,local
data/processed/train/scarves/2025_2025_scarves guatemala 2025_1756100418_a57ea181_norm.jpg,train,scarves,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100485_cbeb96d3_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100485_cbeb96d3_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100555_5370d7d9_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100605_cc7546cb_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100625_6479bd58_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100605_cc7546cb_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100587_e7bfcba4_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100391_c2dcebcf_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100563_9dc1839e_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100587_e7bfcba4_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100563_9dc1839e_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100596_5c940dfb_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100457_dcb79fc6_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100578_8258027f_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100485_cbeb96d3_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100457_dcb79fc6_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100540_811bdb76_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100391_c2dcebcf_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100528_86f0b152_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100578_8258027f_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100425_a0f186f0_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100469_7e4acaae_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100587_e7bfcba4_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100617_6629a504_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100625_6479bd58_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100403_e78367be_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100403_e78367be_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100572_824fd3f9_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100587_e7bfcba4_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100625_6479bd58_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100391_c2dcebcf_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100625_6479bd58_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100555_5370d7d9_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100528_86f0b152_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100572_824fd3f9_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100572_824fd3f9_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100469_7e4acaae_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100476_b246c701_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100403_e78367be_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100596_5c940dfb_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100457_dcb79fc6_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100596_5c940dfb_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100425_a0f186f0_aug_1.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100540_811bdb76_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100476_b246c701_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100555_5370d7d9_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100425_a0f186f0_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100469_7e4acaae_norm.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100540_811bdb76_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100617_6629a504_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100563_9dc1839e_aug_3.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100476_b246c701_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100555_5370d7d9_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/jewelry/2025_2025_jewelry guatemala 2025_1756100572_824fd3f9_aug_2.jpg,train,jewelry,2025-09-06,local
data/processed/train/general/2025_2025_artisan clothing guatemala 2025_1756101255_0d881096_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_rural clothing guatemala 2025_1756102393_a440b9ec_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_brands guatemala_1756088554_be152f50_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_contemporaneo guatemala_1756086520_682b70bf_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_tradicional guatemala_1756088818_aeb7220a_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_marcas guatemala_1756088634_9f84a35c_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_xxl clothing guatemala 2025_1756100970_32f6cecb_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_senior clothing guatemala 2025_1756099815_95916578_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_contemporaneo guatemala_1756086283_49023d37_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/processed_enhanced_1756017220_2cb9c408_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_minimalist clothing guatemala 2025_1756099541_94e8c01a_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_xela clothing 2025_1756101923_a88a26fa_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_huehuetenango clothing 2025_1756101766_964184cd_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_brands guatemala_1756088572_ba5b3506_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing market_1756102862_4e7e0c59_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_xela clothing 2025_1756101863_f9d96702_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing distributor_1756102859_bcc4c0d7_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/web_pixabay_com_1756078719_dce653b0_aug_1.jpg,train,general,2025-09-06,global
data/processed/train/general/processed_enhanced_1756017122_b65a886f_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/web_pixabay_com_1756072366_05a082fb_aug_1.jpg,train,general,2025-09-06,global
data/processed/train/general/2025_2025_minimalismo guatemala 2025_1756103764_09b0fef2_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_guatemala elegant_1756086535_048d1f81_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/google_google_dresses_1756085254_87f1acdc_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing brand_1756102649_e2f980fa_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing store_1756102605_8a1838b3_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_xela clothing 2025_1756101816_86a5a902_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_brands guatemala_1756088499_cf7ee01b_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/google_google_clothing_1756085478_15c6597d_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing exporter_1756103300_68a56133_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing distributor_1756102991_02a459c6_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing market_1756102824_4d189e68_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_huehuetenango clothing 2025_1756101617_b0234a40_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_dresses guatemala_1756085790_573bb532_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_xela clothing 2025_1756101504_5411fd39_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_contemporary guatemala_1756089099_959622db_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_xxl clothing guatemala 2025_1756100977_eb99d9f9_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing exporter_1756103323_f5344128_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_animal print clothing guatemala 2025_1756100793_b3e0abfb_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_xxl clothing guatemala 2025_1756101108_cc9e0012_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_diseñadores guatemala_1756088323_2e423a6b_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_indigenous guatemala_1756088833_10b26a48_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_minimalismo guatemala 2025_1756103613_acfbfff8_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/google_google_glamour_1756085298_38db44f9_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing market_1756102882_d8cc8362_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_indigenous guatemala_1756088912_780db207_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_clothing guatemala_1756085891_653628dd_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_guatemala style_1756086368_aeb99e99_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing store_1756102583_2ab5b8f9_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_style guatemala_1756085665_c80b108b_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/google_google_dresses_1756085217_ffbef322_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_traditional dress guatemala_1756089648_55686ee8_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_minimalist clothing guatemala 2025_1756099503_8ac8008c_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_clothing guatemala_1756085950_4c9de1a8_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/web_pixabay_com_1756078719_dce653b0_norm.jpg,train,general,2025-09-06,global
data/processed/train/general/2025_2025_tie dye clothing guatemala 2025_1756100823_e394b380_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing market_1756102958_7e2c5ccb_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_style guatemala_1756085734_dbe78481_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_tailor guatemala_1756099138_a8b24d8b_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing distributor_1756102849_bd769bab_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_tendencias chapinas_1756089728_8ab6749a_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_teen clothing guatemala 2025_1756100056_0064f112_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_medium size clothing guatemala 2025_1756100712_f3d9018f_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_lawyer clothing guatemala 2025_1756099911_672b0171_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_young clothing guatemala 2025_1756099747_09b0fef2_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/web_pixabay_com_1756055267_aed2fea4_aug_2.jpg,train,general,2025-09-06,global
data/processed/train/general/guate_guate_tradicional guatemala_1756088926_2329a58d_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/processed_enhanced_1756017113_04dd72bc_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_vegan clothing guatemala 2025_1756102247_8ac8008c_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing brand_1756102899_a3ddb44a_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_teen clothing guatemala 2025_1756099819_e813dddb_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_senior clothing guatemala 2025_1756100278_27375a0f_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_artisan clothing guatemala 2025_1756101575_b63985a1_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_trends guatemala_1756088407_a0a9505a_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_normcore guatemala 2025_1756103732_1105f3ca_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_traditional dress guatemala_1756089468_8fa37640_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_brands guatemala_1756088646_68488ecb_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_guatemala elegant_1756086632_db94f653_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_xela clothing 2025_1756101471_3d678183_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_rural clothing guatemala 2025_1756102313_3af1a48e_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/web_pexels_com_1756055784_e99da030_aug_1.jpg,train,general,2025-09-06,global
data/processed/train/general/google_google_style_1756085388_3c5bbf6e_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing store_1756102405_a67d1cce_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_guatemala style_1756086368_aeb99e99_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_peten clothing 2025_1756101742_f1767302_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/web_pexels_com_1756073006_ee8ca1b0_norm.jpg,train,general,2025-09-06,global
data/processed/train/general/processed_enhanced_1756017116_be925cac_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_indigenous guatemala_1756088826_9bf7ffdc_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_minimalismo guatemala 2025_1756103873_a260f19b_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_guatemala style_1756089643_38157902_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing distributor_1756103091_1592fd71_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/google_google_glamour_1756085219_1e64df18_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_guatemala style_1756089638_4e317444_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_contemporary guatemala_1756089132_bf833f37_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_xxl clothing guatemala 2025_1756101092_e7c1f820_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing distributor_1756102849_bd769bab_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_xela clothing 2025_1756101515_ef265393_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_traditional dress guatemala_1756089582_f00cc83f_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_contemporaneo guatemala_1756086340_ebcd8698_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_young clothing guatemala 2025_1756099810_948093b6_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing brand_1756102907_ab46881b_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_traditional dress guatemala_1756089574_30eac5f8_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_teen clothing guatemala 2025_1756099638_97234931_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_huehuetenango clothing 2025_1756101641_13646922_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_medium size clothing guatemala 2025_1756100840_ce3b0f61_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing market_1756102558_6ba78af8_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_teen clothing guatemala 2025_1756099574_49119d00_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_recycled clothing guatemala 2025_1756101964_e61bf84b_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/web_pixabay_com_1756055215_06a418c4_aug_3.jpg,train,general,2025-09-06,global
data/processed/train/general/guate_guate_moderno guatemala_1756089082_58d5f9eb_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_guatemala style_1756089607_029b2e17_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_artisan clothing guatemala 2025_1756101248_3340b343_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_tendencias chapinas_1756089693_73333e15_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_tie dye clothing guatemala 2025_1756100695_598b0b00_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_leather clothing guatemala 2025_1756099636_9041f259_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_teen clothing guatemala 2025_1756099775_6bbb9d4c_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_huehuetenango clothing 2025_1756101986_3f4d9de3_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/web_pixabay_com_1756078893_80070084_aug_3.jpg,train,general,2025-09-06,global
data/processed/train/general/2025_2025_animal print clothing guatemala 2025_1756100656_df4e843b_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_brands guatemala_1756088582_cf07d97c_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_minimalismo guatemala 2025_1756103819_96372604_norm.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_dresses guatemala_1756085873_9ade9210_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_tradicional guatemala_1756088737_372bc157_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/google_google_glamour_1756085357_c3ba9944_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/google_google_style_1756085472_ab70b17e_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_contemporaneo guatemala_1756086406_21c950d4_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/google_google_style_1756085479_09613375_aug_3.jpg,train,general,2025-09-06,local
data/processed/train/general/2025_2025_guatemala clothing exporter_1756103191_e73ee226_aug_2.jpg,train,general,2025-09-06,local
data/processed/train/general/web_pexels_com_1756055798_0d97dbad_norm.jpg,train,general,2025-09-06,global
data/processed/train/general/web_pexels_com_1756073045_2521be43_aug_2.jpg,train,general,2025-09-06,global
data/processed/train/general/guate_guate_tradicional guatemala_1756088749_29862719_aug_1.jpg,train,general,2025-09-06,local
data/processed/train/general/guate_guate_style guatemala_1756085755_59e07f89_norm.jpg,train,general,2025-09-06,local
